event_date,country,admin1,location,latitude,longitude,event_type,sub_event_type,fatalities
2024-04-21,Iraq,Al Basrah,Basrah,30.533,47.7975,Protests,Peaceful protest,0
2024-04-22,Iraq,Thi Qar,Chibayish,30.956,46.9766,Protests,Peaceful protest,0
2024-04-23,Iraq,Diyala,Baquba,33.754,44.6052,Protests,Peaceful protest,0
2024-04-26,Iraq,Al Basrah,Nahiyat ad Dayr,30.7951,47.5796,Protests,Peaceful protest,0
2024-04-19,Iraq,Wassit,Al Aziziyah,32.9094,45.0636,Strategic developments,Other,0
2024-04-19,Iraq,Baghdad,Al Latifiyah,33.0242,44.1785,Strategic developments,Other,0
2024-04-21,Iraq,Maysan,Al Musharrah,31.8222,47.4382,Riots,Violent demonstration,0
2024-01-01,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-01,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-01,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-02,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-02,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-02,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-02,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-03,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-03,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-03,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-03,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-05,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-05,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-06,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-06,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-06,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-07,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-08,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-09,Iraq,Duhok,Shelaza,37.1538,43.385,Explosions/Remote violence,Air/drone strike,0
2024-01-05,Iraq,Duhok,Gire Orte,37.2031,43.3938,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-09,Iraq,Duhok,Gire Orte,37.2031,43.3938,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-11,Iraq,Duhok,Gire Orte,37.2031,43.3938,Explosions/Remote violence,Shelling/artillery/missile attack,0
2024-01-13,Iraq,Duhok,Gire Hakkari,37.1399,43.527,Battles,Armed clash,1
2024-01-15,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-12,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-14,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-14,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-14,Iraq,Duhok,Chiya-e Gara,37.0394,43.5175,Explosions/Remote violence,Air/drone strike,0
2024-01-15,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-16,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-17,Iraq,Erbil,Kolit,36.8775,44.6873,Explosions/Remote violence,Air/drone strike,0
2024-01-18,Iraq,Duhok,Mije,37.0478,43.5593,Explosions/Remote violence,Air/drone strike,0
2024-01-16,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-17,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-18,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-19,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-20,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-21,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
2024-01-22,Iraq,Erbil,Barbazin,36.8447,44.8105,Explosions/Remote violence,Air/drone strike,0
